Listing Id,Locality,Property Type,Property Subtype,Price,Fully Equipped Kitchen,Number of Rooms,Area,Garden,Terrace,Swimming Pool,New Building
9508757,9820,apartment,apartment,370000,1.0,2,,55.0,True,,True
9508773,9940,house,house,399000,1.0,4,1191.0,,,,False
9508776,8660,apartment,duplex,349000,0.0,3,,,True,,False
9508903,9940,apartment,apartment,245000,0.0,3,,,True,,False
9508906,2830,house,villa,489000,1.0,4,603.0,468.0,,,False
9508916,8200,apartment,penthouse,315000,1.0,2,,,,,False
9509023,1070,house,house,515000,1.0,3,342.0,238.0,True,,False
9509046,1050,apartment,apartment,210000,1.0,1,,,,,False
9509047,1150,apartment,apartment,499000,0.0,2,,,True,,False
9509049,1700,apartment,apartment,260000,1.0,2,,,True,,False
9509056,1150,house,house,1245000,0.0,5,324.0,145.0,True,,False
9509068,4970,apartment,duplex,265000,0.0,3,,,True,True,False
9509111,1500,house,house,525000,1.0,4,668.0,,,,False
9509112,1501,house,house,525000,1.0,4,668.0,,,,False
9509114,1030,apartment,apartment,210000,0.0,2,,,True,,False
9509127,9300,apartment,apartment,140000,1.0,2,,,,,False
9509132,4040,house,house,129500,0.0,2,190.0,145.0,True,,False
9509148,9000,apartment,apartment,225000,1.0,1,,,,,False
9509155,1200,apartment,duplex,350000,1.0,3,,,True,,False
9509156,1200,apartment,apartment,455000,1.0,3,,,True,,False
9509158,3540,house,house,382000,1.0,4,1200.0,450.0,True,,False
9509159,4020,house,mansion,295000,1.0,4,43.0,,,,False
9509196,1180,house,house,440000,0.0,3,164.0,,True,,False
9509217,9840,apartment,ground floor,295000,1.0,2,,,True,,False
9509269,8710,house,mansion,249000,0.0,4,498.0,,,,False
9509272,9600,apartment,loft,299500,0.0,3,,,,,False
9509280,9600,house,house,157000,0.0,3,170.0,,True,,False
9509281,9600,house,house,299500,0.0,3,82.0,,,,False
9509282,9600,house,house,249800,0.0,3,440.0,,,,False
9509308,2100,apartment,duplex,329000,1.0,4,,120.0,True,,False
9509314,7332,house,house,249000,1.0,3,536.0,465.0,True,,False
9509374,3090,house,villa,760000,1.0,4,1042.0,660.0,True,,False
9509406,1000,apartment,apartment,600000,1.0,2,,,True,,False
9509414,4000,apartment,apartment,135000,1.0,2,,,,,False
9509423,2000,apartment,apartment,449000,1.0,2,,,True,,True
9509461,8620,apartment,flat studio,127500,1.0,0,,,True,,False
9509464,1840,house,villa,449000,1.0,4,746.0,,True,,False
9509468,2018,apartment,penthouse,795000,1.0,3,,,True,,False
9509482,1180,apartment,apartment,1245000,1.0,5,,50.0,True,,False
9509511,1325,house,villa,595000,1.0,5,2000.0,,,,False
9509540,9400,house,house,295000,1.0,3,200.0,,True,,False
9509600,2000,apartment,penthouse,595000,1.0,2,,,True,,False
9509619,3090,house,villa,785000,1.0,4,700.0,530.0,True,,False
9509667,8800,apartment,apartment,259000,1.0,2,,,True,,False
9509712,4540,house,house,395000,1.0,6,1649.0,1000.0,True,,False
9509735,2520,house,house,425000,0.0,3,1400.0,,True,,False
9509736,2018,apartment,apartment,995000,0.0,3,,,True,,False
9509789,1180,apartment,duplex,650000,1.0,3,,,True,,False
9509791,7900,house,house,125000,0.0,4,100.0,,,,False
9509792,9660,house,mixed use building,895000,1.0,9,220.0,,,,False
9509793,7500,house,mansion,375000,0.0,4,151.0,,True,,False
9509795,9660,house,house,895000,1.0,9,220.0,,,,False
9509838,4500,apartment,apartment,175000,1.0,2,,350.0,,,False
9509839,2600,house,mansion,675000,0.0,0,297.0,77.0,True,,False
9509850,2660,house,town house,265000,0.0,2,100.0,60.0,,,False
9509865,6950,house,house,399000,0.0,6,725.0,,True,,False
9509866,6950,house,house,399000,0.0,6,725.0,,True,,False
9509882,7940,house,house,230000,0.0,2,190.0,,,,False
9509916,9300,house,house,569000,1.0,3,100.0,,True,,False
9509932,9052,apartment,apartment,400000,1.0,2,,,True,,True
9509933,9000,house,house,265000,0.0,4,81.0,,True,,False
9509945,1348,apartment,apartment,365000,1.0,2,,,True,,True
9509948,1340,apartment,penthouse,695000,0.0,3,,,True,,True
9509951,1340,apartment,apartment,365000,1.0,2,,,True,,True
9509952,1348,apartment,penthouse,695000,0.0,3,,,True,,True
9509998,7890,house,house,685000,1.0,5,718.0,,,,False
9510001,4990,house,house,385000,0.0,5,4671.0,,True,,False
